seconds_elapsed,relativeAltitude,pressure
-0.13768743896484376,0.0,821.8318176269531
0.112788818359375,-0.0106201171875,821.8329620361328
0.3632625732421875,-0.0238037109375,821.8341064453125
0.6137273559570312,-0.134765625,821.8455505371094
0.8642025756835937,-0.314453125,821.8637847900391
0.9531823120117188,-0.37255859375,821.8696594238281
1.22034912109375,-0.393798828125,821.8718719482422
1.487515869140625,-0.465087890625,821.8790435791016
1.7546823120117188,-0.52587890625,821.8851470947266
2.02184814453125,-0.536376953125,821.8862152099609
2.289003601074219,-0.5390625,821.8864440917969
2.55616357421875,-0.5576171875,821.8885040283203
2.8233255615234376,-0.568115234375,821.8893432617188
3.0904885864257814,-0.5919189453125,821.8917846679688
3.357649353027344,-0.59716796875,821.8923187255859
3.624810607910156,-0.613037109375,821.8941497802734
3.8919801025390623,-0.613037109375,821.8941497802734
4.159145874023437,-0.6104736328125,821.8938446044922
4.426296325683594,-0.5892333984375,821.8915557861328
4.693447875976562,-0.581298828125,821.8907928466797
4.960603332519531,-0.581298828125,821.8909454345703
5.2277783203125,-0.5760498046875,821.8902587890625
5.494932067871094,-0.5760498046875,821.8902587890625
5.762082397460938,-0.573486328125,821.8899536132812
6.0292451171875,-0.573486328125,821.8899536132812
6.296404602050782,-0.573486328125,821.8899536132812
6.563570373535156,-0.5946044921875,821.8922424316406
6.83072607421875,-0.613037109375,821.8939971923828
7.097880554199219,-0.61572265625,821.8943023681641
7.365048400878906,-0.671142578125,821.9000244140625
7.632217834472656,-0.689697265625,821.9017791748047
7.899378295898438,-0.7266845703125,821.905517578125
8.166533081054688,-0.8165283203125,821.9145965576172
8.433692077636719,-1.0252685546875,821.9358825683594
8.700855102539062,-1.24462890625,821.9579315185547
8.968020324707032,-1.7783203125,822.0121765136719
9.235187072753906,-2.571044921875,822.0926666259766
9.502353515625,-3.8525390625,822.2225189208984
9.769511596679688,-5.6043701171875,822.4002838134766
10.036684631347656,-8.1727294921875,822.6609039306641
10.30383660888672,-10.96826171875,822.9447174072266
10.570989135742188,-13.8721923828125,823.2394409179688
10.838144836425782,-16.7021484375,823.5266876220703
11.105296875,-19.133056640625,823.7737274169922
11.372455871582032,-21.373779296875,824.0013885498047
11.639618103027344,-24.1455078125,824.2831420898438
11.906772094726563,-26.972900390625,824.5704650878906
12.173926330566406,-29.6917724609375,824.8468780517578
12.441086853027343,-32.714599609375,825.1543426513672
12.708227600097656,-35.457275390625,825.4334259033203
12.975359558105469,-37.27001953125,825.6179046630859
13.24250634765625,-39.6163330078125,825.8566284179688
13.50965380859375,-42.430419921875,826.1432647705078
13.776814086914062,-45.14404296875,826.4195251464844
14.043979064941407,-47.8260498046875,826.6928100585938
14.31115557861328,-51.0152587890625,827.017822265625
14.578324829101565,-53.861083984375,827.3078155517578
14.845485595703124,-55.845458984375,827.5102233886719
15.112655334472656,-57.4837646484375,827.6773071289062
15.379809814453125,-59.0797119140625,827.8400421142578
15.646976318359375,-60.514404296875,827.9862976074219
15.914130554199218,-61.84619140625,828.1223297119141
16.18128662109375,-63.6112060546875,828.3023071289062
16.448459838867187,-65.624755859375,828.5079193115234
16.715627868652344,-67.609130859375,828.7104797363281
16.982791564941405,-69.6014404296875,828.9137268066406
17.249949829101563,-72.085205078125,829.1673278808594
17.51711376953125,-75.0286865234375,829.4680786132812
17.78427557373047,-77.7054443359375,829.7416687011719
18.051437316894532,-80.368896484375,830.0137329101562
18.318600646972655,-83.4339599609375,830.3273010253906
18.58576385498047,-86.1766357421875,830.6076049804688
18.85291455078125,-87.9417724609375,830.7881927490234
19.120073364257813,-89.558837890625,830.9534454345703
19.387220581054688,-91.72021484375,831.1746978759766
19.654365051269533,-93.8790283203125,831.3957214355469
19.921518615722658,-95.75244140625,831.5874481201172
20.188680053710936,-97.7711181640625,831.7941284179688
20.45583087158203,-100.2470703125,832.0476531982422
20.722979064941406,-102.6356201171875,832.2922515869141
20.99012957763672,-104.7864990234375,832.5125885009766
21.257280822753906,-107.0140380859375,832.7407836914062
21.52443963623047,-109.55322265625,833.0011749267578
21.79159759521484,-112.2431640625,833.2769775390625
22.05876037597656,-114.705810546875,833.5294342041016
22.325914794921875,-116.9068603515625,833.7552642822266
22.59307830810547,-119.0682373046875,833.97705078125
22.86024304199219,-121.147705078125,834.1904449462891
23.12741082763672,-122.9630126953125,834.3767547607422
23.39457781982422,-124.939453125,834.5795440673828
23.661753356933595,-127.2198486328125,834.8136901855469
23.92892785644531,-129.6058349609375,835.0588226318359
24.196099853515626,-132.4224853515625,835.3480529785156
24.46328161621094,-135.685791015625,835.68359375
24.730444091796876,-139.0230712890625,836.0265350341797
24.99760882568359,-142.2255859375,836.3559722900391
25.264773315429686,-145.6051025390625,836.7033386230469
25.531945373535155,-148.5909423828125,837.0108032226562
25.799121337890625,-151.085205078125,837.2675323486328
26.06629205322266,-153.162109375,837.4813842773438
26.33346105957031,-155.0751953125,837.6783752441406
26.60062982177734,-156.98291015625,837.874755859375
26.86779559326172,-159.2447509765625,838.1077575683594
27.13496008300781,-161.8104248046875,838.3721160888672
27.40212506103516,-164.537353515625,838.6530303955078
27.669286865234376,-167.6156005859375,838.9704132080078
27.936441345214845,-170.8973388671875,839.3088531494141
28.20360632324219,-173.759033203125,839.6039581298828
28.47077087402344,-176.5439453125,839.8915100097656
28.73793981933594,-180.1005859375,840.2584838867188
29.005119567871095,-183.8817138671875,840.6488800048828
29.27229656982422,-187.0234375,840.9735107421875
29.539460083007814,-190.0594482421875,841.2870788574219
29.806608337402345,-192.8656005859375,841.5772247314453
